Type,Title/Headline (if applicable),Body / Key Message (if applicable),Image or Video,External Link (if applicable)
Text over video + Link to an external URL,Life|Charmed: Quick Read,The Beekeeper’s Quiet Revolution,https://youtube.com/shorts/pS8uORn7ZMM?feature=share,https://footforwardfund.org/charmed-life-updates.html#story10
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Girls Grow Reading…By Hand,https://drive.google.com/file/d/1CTattHhKAJSrKg9MUc1rk1jjIfMlTWOu/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story11
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Garden That Fed Hope,https://drive.google.com/file/d/1QZnteeuQ4iBepWefOKAexXRCQ4SGZduu/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story12
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Raised Her Hand,https://drive.google.com/file/d/1UHKuxmIndeZnd7panLXFiQc3jLX1kRI_/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story13
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Runner With No Finish Line,https://drive.google.com/file/d/1Ol2KmCMbMVgQyffSwmEuk19u2j-nct3_/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story14
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Rain Dancers of Dar es Salaam,https://drive.google.com/file/d/14NvfcDBk0D-Qm2xaq52h6CS0FnTBbA1z/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story15
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bridge That Mothers Built,https://drive.google.com/file/d/1_5pq6mNiEDz4VJVt4hB9DqdO0XoppxzK/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story16
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Paper Hearts and Everyday Heroes,https://drive.google.com/file/d/1GnJL9M9OM6YS-x1DB1pIxVgSv2Y0hci0/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story17
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Scientist Who Listened to Bees,https://drive.google.com/file/d/1M8CIUwTsdiRIGxJMTqhYRF4yPm0fvNTw/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story18
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Tea Notes Through the Window,https://drive.google.com/file/d/1OpMbZlHneBi_DM9D9HW4UogghguK9xNC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story19
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Grew a Forest,https://drive.google.com/file/d/13k_5HLoh8Pf2mZZqjptazKHoilJ1Gle_/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story20
Text over video + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Learned to Fly Again,https://youtube.com/shorts/umseG3U2YkE,https://footforwardfund.org/charmed-life-updates.html#story21
Text over video + Link to an external URL,Life|Charmed: Quick Read,A Dress Woven From Dreams,https://youtube.com/shorts/il3gngUgsGk,https://footforwardfund.org/charmed-life-updates.html#story22
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Hands That Built a Playground,https://drive.google.com/file/d/1gB_6tfMa2f3-R1fR_Hum3QEnSGOMZxC1/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story23
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Voices That Rebuilt the School,https://drive.google.com/file/d/1QKxqTUJEjC4CO_H0cppVKTK0N_j6R3CT/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story25
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Woman Who Lit the Night,https://drive.google.com/file/d/1QQgeikKblXzdkaprYagDIgNW5oOvKlGr/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story26
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Water Carriers of Hope,https://drive.google.com/file/d/1DqMZ4UBWUIFNWXEZ_TZ5YCQQMhrCcBeW/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story28
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Librarian Who Walked Miles,https://drive.google.com/file/d/1Km5VGg3pwa8bW4nUKu6bcQbXIJUsXrR-/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story29
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bench That Started a Movement,https://drive.google.com/file/d/188jmjUNm5Tse8OJWQ079u2aXhSJY26zH/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story30
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bread Baker of Kigali,https://drive.google.com/file/d/15hcv7WLUEpPuiJu74mRwIBa9XyQOy-t6/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story31
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Strings Across the Square,https://drive.google.com/file/d/1qUFYXVJiYp8rtpf589S-d9HvwcmcRJyy/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story32
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Farmer Who Wrote Poems,https://drive.google.com/file/d/17D8fpuuN-1gbd-n_z13rN3Hq5SUK0tKl/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story33
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Joy Delivered by Bicycle,https://drive.google.com/file/d/1S-oC7IssYOooB_QwA8QYvKo-nT2rBxd4/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story34
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Garden of Second Chances,https://drive.google.com/file/d/1u8N-qRr9-LO0Hx93Ms-RYt8_CtnYuRcp/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story35
